name,price,link
Adafruit PowerBoost 1000C,self provided,
3.7V 1000mAh LiPo Battery,self provided,
Perfboard,self provided,
Jumper Wire Spool,self provided,
Push Buttons,self provided,
ESP32 DevKitC-32e,11.00$,https://www.amazon.com/Espressif-ESP32-DevKitC-32E-Development-Board/dp/B09MQJWQN2/ref=sr_1_1?crid=3OPOVZPN3GOTS&dib=eyJ2IjoiMSJ9.JpLBju-AiuR7obPTx93D8OrdRo1IA5JlJCyunruy410ZZGksNe5obnvLGTi-g-o4MTKD0cpAe7xV2ynKrv-eo7PEYCJB5wK0PBz9tsOm3mew7SC3kafBfVg1XU61-ydcSTGJR1PM6EXKu3fZW63nW8eygxOkcvdHrFF_STP9J4EhFFou4UDuhacFXWbsKHkCccTpsNI0i_DUtULFN-5kb-HRb5jerdThrfAZaDTM3pPNtK4n68qRmLXFn7Xap0BZucxid-Yp7wgFSB24vAKDhkexxJebxZM2R4nIOle40P0.s7YpNEBVF9hPKx8Oda-yNPLWMUhERlXcawiL1rQ8dck&dib_tag=se&keywords=ESP32-DevKit%2Bv4&qid=1759466390&s=electronics&sprefix=esp32-devkit%2Bv%2Celectronics%2C368&sr=1-1&th=1
NEO-6M GPS Module with antenna,8.99$,https://www.amazon.com/dp/B01D1D0F5M
0.96in OLED Display 128x32 (I2C),5.99$,https://www.amazon.com/Dorhea-Display-3-3V-5V-Arduino-Raspberry/dp/B07FK8GB8T/ref=sr_1_5?crid=2UURD6IN7IV1F&dib=eyJ2IjoiMSJ9.YPsxmEYxLwUpItVvDQ1xQxtgoTJKUQX9D7kHQLs0RPJstKIJmjRH4MSp6RNd40xt4EMgUf4QZr3OsF5gJh-BNvY_fMtR6owkqTCc2QurpPx-rUZjBE8RMuLxEGrryxgOyTz-Y8cprmCPqvhlVMTEv3W4Bb49S4MwWKz_zsU8DOcXtmo_W1HE0QXY9QPPCAEfZ3JdGktssTZZsCRMiiWxMPnCxNzYowfYGRcqekOqTBLmfvhpUbF6rOBAe6aarTcL8-LCT_PFFZI-9LmoKFN8yU_wrgRlYSs4WL3Fc6LNJgQ.pAF7w_rDSnBWMt0DOdHDLtGK9KsU8fl0CAiawePykVM&dib_tag=se&keywords=OLED%2BDisplay%2BModule%2BI2C&qid=1759463891&s=industrial&sprefix=oled%2Bdisplay%2Bmodule%2Bi2c%2B%2Cindustrial%2C167&sr=1-5&th=1
Adafruit MicroSD SPI/SDIO Card Breakout,7.50$,https://www.adafruit.com/product/254
MAX30102 Pulse Oximeter Sensor,6.99$,https://www.amazon.com/HiLetgo-MAX30102-Breakout-Oximetry-Solution/dp/B07QC67KMQ/ref=sr_1_4?crid=20N1RMCF9B3U4&dib=eyJ2IjoiMSJ9.QwMpqViDtux0YmLojEFQNGK6ZgwegXtJ8jJIKjISCXBtrwPx1BcTdaMOk-p_lu6aO4VMyvjJ8THhuQVLjZxtCuNOMNixLsORIfIrUmdch72M-XFdzlFewmS-pTlz2jVKfpAIppqBjiIQhSZODhpSkxpa4ibHXN5AtVxU2qBw0CCbyw8AOmvOHG4M_yRXahHa3dMjmfRCpGBFPvNKShmArUI6qWw8-IQ7jAytlw-knuXAW9QheBCEKUo8bgHNI59cshMcxmRf_a1Fac3KrjSxiL0mz0fsl2TV92emgAX8vjg.qpBE0Jt44od_IPx1204240DKahJ_HsFr1SRj9kO1WLw&dib_tag=se&keywords=MAX30102&qid=1759463955&s=industrial&sprefix=max30102%2Cindustrial%2C202&sr=1-4
total,40.47usd,